Date,Price,Open,High,Low,,
10/30/2020,84.29,84.875,84.895,84.745,,
10/29/2020,84.57,84.795,84.99,84.685,,
10/28/2020,84.15,84.795,84.99,84.46,,
10/27/2020,84.46,84.795,84.855,84.63,,
10/26/2020,84.63,84.725,84.745,84.725,,
10/23/2020,84.63,84.83,84.86,84.83,,
10/22/2020,84.63,84.795,84.905,84.715,,
10/21/2020,84.63,84.805,85.015,84.715,,
10/20/2020,84.63,84.805,85.015,84.715,,
10/19/2020,84.63,84.795,84.955,84.715,,
10/16/2020,84.63,84.81,84.83,84.81,,
10/15/2020,84.63,84.805,84.885,84.715,,
10/14/2020,84.63,84.795,84.895,84.715,,
10/13/2020,84.63,84.795,84.915,84.715,,
10/12/2020,84.79,84.795,84.795,84.795,,
10/9/2020,84.63,84.75,84.79,84.75,,
10/8/2020,84.63,84.795,84.875,84.715,,
10/7/2020,84.63,84.795,84.895,84.715,,
10/6/2020,84.63,84.8,84.89,84.715,,
10/5/2020,84.63,84.795,84.87,84.715,,
10/2/2020,84.63,84.78,84.83,84.78,,
10/1/2020,84.63,84.795,84.86,84.715,,
9/30/2020,84.79,84.805,84.81,84.795,,
9/29/2020,84.63,84.795,85.015,84.715,,
9/28/2020,84.63,84.795,85.015,84.715,,
9/25/2020,84.63,84.77,84.81,84.77,,
9/24/2020,84.63,84.795,84.845,84.715,,
9/23/2020,84.63,84.805,84.895,84.715,,
9/22/2020,84.63,84.795,84.865,84.715,,
9/21/2020,84.63,84.805,84.865,84.715,,
9/18/2020,84.63,84.79,84.79,84.75,,
9/17/2020,84.8,84.805,84.805,84.795,,
9/16/2020,84.63,84.795,84.875,84.715,,
9/15/2020,84.63,84.795,84.955,84.715,,
9/14/2020,84.63,84.75,84.945,84.715,,
9/11/2020,84.63,84.81,84.88,84.81,,
9/10/2020,84.63,84.795,84.895,84.715,,
9/9/2020,84.63,84.81,84.905,84.715,,
9/8/2020,84.63,84.795,84.985,84.715,,
9/7/2020,84.8,84.795,84.805,84.795,,
9/4/2020,84.63,84.86,84.9,84.75,,
9/3/2020,84.63,84.81,84.935,84.715,,
9/2/2020,84.63,84.795,84.875,84.715,,
9/1/2020,84.63,84.795,84.895,84.715,,
8/31/2020,84.63,84.795,84.965,84.715,,
8/28/2020,84.63,84.82,84.88,84.82,,
8/27/2020,84.63,84.795,84.9,84.715,,
