"Date","Price","Open","High","Low","Vol.","Change %"
"12/25/2019","84.850","84.850","84.850","84.850","","0.30%"
"12/24/2019","84.600","84.895","84.995","84.750","0.02K","-0.02%"
"12/23/2019","84.620","84.890","84.995","84.760","0.02K","-0.32%"
"12/20/2019","84.895","84.895","84.895","84.895","","0.01%"
"12/19/2019","84.890","84.840","85.005","84.750","0.01K","0.34%"
"12/18/2019","84.600","84.895","84.975","84.750","0.01K","0.00%"
"12/17/2019","84.600","84.895","84.975","84.750","0.01K","0.00%"
"12/16/2019","84.600","84.780","84.840","84.760","0.01K","0.00%"
"12/13/2019","84.600","84.940","85.100","84.940","0.02K","0.00%"
"12/12/2019","84.600","84.895","85.075","84.750","0.02K","0.00%"
"12/11/2019","84.600","84.895","84.995","84.750","0.01K","0.00%"
"12/10/2019","84.600","84.895","84.985","84.750","0.01K","0.00%"
"12/09/2019","84.600","84.895","84.965","84.750","0.01K","0.00%"
"12/06/2019","84.600","84.810","84.870","84.810","0.01K","0.00%"
"12/05/2019","84.600","84.895","84.945","84.750","0.01K","0.00%"
"12/04/2019","84.600","84.895","84.995","84.750","0.02K","0.00%"
"12/03/2019","84.600","84.895","84.965","84.750","0.01K","-0.06%"
"12/02/2019","84.650","84.895","84.965","84.750","0.01K","-0.29%"
"11/29/2019","84.895","84.895","84.895","84.895","","0.01%"
"11/28/2019","84.890","84.895","84.895","84.895","","0.34%"
"11/27/2019","84.600","84.795","84.975","84.700","0.01K","0.00%"
"11/26/2019","84.600","84.840","84.935","84.700","0.01K","0.00%"
"11/25/2019","84.600","84.795","85.005","84.700","0.01K","0.00%"
"11/22/2019","84.600","84.820","84.910","84.820","0.01K","0.00%"
"11/21/2019","84.600","84.795","84.915","84.700","0.01K","0.00%"
"11/20/2019","84.600","84.795","84.975","84.700","0.02K","0.00%"
"11/19/2019","84.600","84.880","85.065","84.675","0.02K","0.00%"
"11/18/2019","84.600","84.795","84.965","84.700","0.02K","0.00%"
"11/15/2019","84.600","84.840","84.930","84.840","0.01K","0.00%"
"11/14/2019","84.600","84.745","84.905","84.675","0.02K","0.00%"
"11/13/2019","84.600","84.745","84.980","84.675","0.02K","0.00%"
"11/12/2019","84.600","84.745","84.980","84.675","0.01K","-0.17%"
"11/11/2019","84.740","84.745","84.745","84.745","","-0.01%"
"11/08/2019","84.745","84.745","84.745","84.745","","0.01%"
